datetime,open,high,low,close,tick_volume,spread,real_volume
2021-01-22 15:00:00,13338.45,13406.35,13336.95,13399.7,19260,0,0
2021-01-22 16:00:00,13399.45,13407.95,13339.8,13367.7,26357,0,0
2021-01-22 17:00:00,13367.95,13393.2,13353.95,13384.7,17767,0,0
2021-01-25 15:00:00,13498.65,13571.05,13498.4,13555.4,20047,0,0
2021-01-25 16:00:00,13555.65,13566.9,13358.8,13365.9,31858,0,0
2021-01-25 17:00:00,13365.65,13414.7,13206.4,13414.7,40749,0,0
2021-01-26 15:00:00,13494.55,13525.05,13443.15,13493.8,22135,0,0
2021-01-26 16:00:00,13494.05,13538.3,13456.65,13524.8,30996,0,0
2021-01-26 17:00:00,13525.55,13548.8,13470.3,13473.55,25362,0,0
2021-01-27 15:00:00,13409.25,13418.75,13185.95,13296.95,32505,0,0
2021-01-27 16:00:00,13296.7,13398.95,13279.45,13380.45,38701,0,0
2021-01-27 17:00:00,13380.2,13380.7,13229.2,13233.7,31978,0,0
2021-01-28 15:00:00,13134.55,13262.05,13128.8,13202.3,29436,0,0
2021-01-28 16:00:00,13203.8,13299.8,13195.05,13289.8,36398,0,0
2021-01-28 17:00:00,13290.05,13330.8,13268.05,13321.05,28083,0,0
2021-01-29 15:00:00,13142.6,13151.1,13011.2,13097.6,30068,0,0
2021-01-29 16:00:00,13096.35,13171.6,13038.85,13119.6,38492,0,0
2021-01-29 17:00:00,13119.35,13136.35,12976.85,13044.35,36420,0,0
2021-02-01 15:00:00,13060.95,13116.45,12984.2,13033.85,26152,0,0
2021-02-01 16:00:00,13032.35,13147.35,13002.7,13088.35,36287,0,0
2021-02-01 17:00:00,13088.6,13211.95,13057.6,13189.95,27386,0,0
2021-02-02 15:00:00,13369.1,13439.6,13346.1,13397.85,23315,0,0
2021-02-02 16:00:00,13398.1,13453.1,13384.95,13431.35,31438,0,0
2021-02-02 17:00:00,13431.1,13475.1,13412.35,13472.7,20079,0,0
2021-02-03 15:00:00,13555.35,13563.6,13478.25,13543.25,24557,0,0
2021-02-03 16:00:00,13545.5,13549.25,13406.1,13441.6,36036,0,0
2021-02-03 17:00:00,13443.1,13489.35,13431.35,13485.1,23486,0,0
2021-02-04 15:00:00,13465.2,13494.2,13426.45,13449.3,23834,0,0
2021-02-04 16:00:00,13448.8,13466.45,13404.3,13448.45,29342,0,0
2021-02-04 17:00:00,13447.2,13477.95,13435.95,13470.45,18027,0,0
2021-02-05 15:00:00,13594.6,13607.85,13547.1,13549.1,21227,0,0
2021-02-05 16:00:00,13548.85,13582.25,13529.6,13575.75,25293,0,0
2021-02-05 17:00:00,13576.0,13588.0,13549.0,13575.0,15606,0,0
2021-02-08 15:00:00,13668.6,13684.6,13643.6,13674.35,28624,0,0
2021-02-08 16:00:00,13673.85,13702.0,13647.7,13682.85,23891,0,0
2021-02-08 17:00:00,13683.1,13686.35,13606.95,13640.35,20527,0,0
2021-02-09 15:00:00,13668.7,13717.45,13643.45,13713.7,17660,0,0
2021-02-09 16:00:00,13713.45,13744.45,13707.7,13719.2,19896,0,0
2021-02-09 17:00:00,13718.95,13719.95,13676.95,13700.45,16280,0,0
2021-02-10 15:00:00,13754.75,13772.25,13725.25,13746.0,18967,0,0
2021-02-10 16:00:00,13746.25,13764.0,13528.1,13617.75,39433,0,0
2021-02-10 17:00:00,13617.5,13652.25,13576.75,13624.75,31291,0,0
2021-02-11 15:00:00,13721.5,13748.0,13691.1,13696.75,19566,0,0
2021-02-11 16:00:00,13697.25,13753.5,13693.0,13718.75,25268,0,0
2021-02-11 17:00:00,13718.5,13751.25,13704.0,13731.25,18324,0,0
2021-02-12 15:00:00,13695.0,13715.0,13656.0,13704.0,18488,0,0
2021-02-12 16:00:00,13703.75,13745.5,13674.0,13732.75,22068,0,0
2021-02-12 17:00:00,13733.0,13760.25,13727.75,13750.0,15369,0,0
2021-02-15 15:00:00,13854.85,13872.1,13853.35,13866.6,3047,0,0
