datetime,open,high,low,close,tick_volume,spread,real_volume
2026-01-29 15:22:00,26033.45,26035.15,26027.95,26034.55,261,190,0
2026-01-29 15:23:00,26034.45,26037.55,26032.15,26034.25,234,190,0
2026-01-29 15:24:00,26034.45,26040.05,26034.45,26040.05,234,190,0
2026-01-29 15:25:00,26040.15,26044.45,26036.25,26044.25,277,190,0
2026-01-29 15:26:00,26044.55,26046.65,26039.25,26045.25,228,190,0
2026-01-29 15:27:00,26045.15,26049.05,26044.25,26046.95,212,180,0
2026-01-29 15:28:00,26045.95,26048.85,26044.55,26047.55,188,180,0
2026-01-29 15:29:00,26047.85,26049.3,26042.94,26047.54,196,180,0
2026-01-29 15:30:00,26047.35,26048.74,26039.25,26039.55,217,180,0
2026-01-29 15:31:00,26039.85,26041.05,26032.05,26039.25,283,180,0
2026-01-29 15:32:00,26039.75,26045.15,26038.95,26043.45,224,190,0
2026-01-29 15:33:00,26044.15,26054.45,26043.65,26052.45,252,190,0
2026-01-29 15:34:00,26052.25,26061.65,26052.25,26058.75,230,190,0
2026-01-29 15:35:00,26059.05,26064.25,26058.65,26064.15,241,190,0
2026-01-29 15:36:00,26064.65,26068.05,26061.05,26066.05,220,180,0
2026-01-29 15:37:00,26066.55,26067.55,26062.55,26066.35,212,180,0
2026-01-29 15:38:00,26066.05,26070.45,26063.95,26064.85,218,180,0
2026-01-29 15:39:00,26064.55,26065.35,26061.35,26062.05,161,180,0
2026-01-29 15:40:00,26061.85,26065.55,26060.85,26065.35,194,180,0
2026-01-29 15:41:00,26065.55,26071.45,26064.35,26070.05,218,180,0
2026-01-29 15:42:00,26070.35,26071.85,26066.25,26070.75,212,170,0
2026-01-29 15:43:00,26070.35,26076.75,26070.05,26074.05,199,170,0
2026-01-29 15:44:00,26074.15,26075.55,26068.25,26071.25,205,170,0
2026-01-29 15:45:00,26070.05,26073.55,26068.85,26072.05,214,170,0
2026-01-29 15:46:00,26072.15,26072.35,26067.75,26071.45,201,160,0
2026-01-29 15:47:00,26071.15,26074.95,26070.15,26071.35,192,160,0
